CourseCode,CourseName,Department,ILO,Similarity,Content
TVTRAI,Kulturteori och transnationell teater I,Institutionen för kultur och estetik,Du ska kunna argumentera för sitt eget alternativa angreppssätt .,0.2830805778503418,"Kursen ger studenterna kunskaper för att förstå, analysera och utvärdera samtida och historiska teaterpraktiker inom det alltmer globala och transnationella kulturområdet. Kursen innefattar kulturteori, postkolonial och interkulturell teori samt transnationell kritisk teori om konst och teater. Studenterna kommer att lära sig att tillämpa vetenskapliga arbetsnormer och etik på området."
TVTRA2,Kulturteori och transnationell teater II,Institutionen för kultur och estetik,Du ska kunna utveckla och argumentera för ett eget alternativt angreppssätt .,0.3108028173446655,"Kursen ger kunskap om samtida teaterpraktiker i en globaliserad värld. Studenterna får tillämpa metoder och teorier de lärt sig genom Kurs I för att analysera specifika exempel på teater samt lära sig om konkreta arbetsvillkor och föreställningspraktiker. Kursen innefattar kulturanalys, teoribildning och begrepp inom dramaturgi samt studier inom postkolonial och interkulturell teater."
ML435C,Beslutsanalytisk metodik med avancerade tillämpningar,Institutionen för data- och systemvetenskap (DSV),Försvara akademiskt skrivande och kommunikation .,0.248799666762352,"- Formell problemmodellering inom risk- och beslutsanalys och dess tillämpningsområden i samhälle och näringsliv  - Projektformulering - Faktiskt arbete i vald tillämpningsdomän, inklusive argumentation för vald metod för ändamålet - Dokumentation, presentation och utvärdering"
SV7080,Institutioner och politisk kultur i Sverige,Statsvetenskapliga institutionen,Relatera olika teorier till empiriska frågor i en självständig argumentation (syntes),0.26046091318130493,"Kursen syftar till att ge en vidare beläsenhet inom svensk politik inom följande områden: politisk idéhistoria, politisk kultur, demokrati och författningspolitik. Teman som berörs är olika utmaningar som svensk demokrati idag möter, inte minst de problem som gör att partiväsendet och parlamentarismen är under förändring."
MO8010,Turbulenta gränsskikt i atmosfär och hav,Meteorologiska institutionen (MISU),Du ska kunna problemet .,0.09072545915842056,"Kursen behandlar turbulenta omblandnings- och utbytesprocesser i atmosfäriska och oceana gränsskikt. Utbyte av rörelsemängd, värme, energi och vatten beskrivs med hjälp av turbulensteori och similaritetsteori. Kursen innehåller:   • gränsskiktets observerade struktur  • Reynolds-uppdelning och medelvärdesbildning  • turbulent energi och turbulenta flöden  • mättekniker och analysverktyg  • closure-problemet  • turbulenta kinetiska energiekvationen  • similaritetsteori, tex Monin-Obukhov-teorin  • Ekmanskikt  • turbulensspektra  • dispersion i gränsskikt."
FE4429,Redovisningsanalys,Företagsekonomiska institutionen,Du ska kunna hantera följande .,0.3168256878852844,"Kursen övergripande syfte är att utveckla studenterna praktisk och teoretiska förmåga i finansiell analys och företagsvärdering, med ett klart fokus på redovisningsproblem i noterade bolag (IFRS-bolag). Efter genomgången kurs skall studenten kunna förklara hur IFRS-problem relaterar till finansiell analys och företagsvärdering.  Kursen består av föreläsningar, databaserade övningar, gruppövningar, quizz och en skriftlig tentamina. Föreläsningarna ger en överblick av kursens tre ämnesområden: redovisning, finansiell analys och företagsvärdering. Dataövningarna ger studenten möjlighet att öva på kursens kvantitativa delar, genom att konstruera en modell för finansiell analys och diskonterad kassaflödesvärdering. Gruppövningarna fokuseras på att tillämpa modellen på verkliga företag, där redovisningsproblem blandas med finansiell analys och företagsvärdering."
JK0600,Frågeställningar och tillvägagångssätt inom Östasienstudier,"Institutionen för Asien-, Mellanöstern- och Turkietstudier",Du ska kunna utveckla förmågan att kommunicera sina idéer muntligt såväl som skriftligt .,0.3036196231842041,"Kursen behandlar studiet av östasiatiska kulturer genom en introduktion till betydande disciplinära infallsvinklar som har varit vägledande för dessa studier: filologi och litteraturvetenskap, översättningsstudier, kulturstudier och internationella relationer. Kursen tar upp föreställningar om Asien som utvecklats inom och utanför Östasien. Dessutom fokuserar den på centrala begrepp i all forskning om kulturer ur ett östasiatiskt perspektiv – nation, region och imperium, global och lokal, kultur och natur, litteratur och media. Som helhet inbjuder kursen studenter att se bortom de nationella gränserna i traditionella områdesstudier och utforska på vilket sätt beaktandet av Östasien visar sig vara oumbärligt för forskning inom sitt eget specifika forskningsfält."
AS7021,Bayesiansk statistik för astronomer och fysiker,Institutionen för astronomi,Du ska kunna jämföra det bayesianska synsättet med det klassiska frekventistiska synsättet .,0.31463804841041565,"Kursen behandlar grundläggande begrepp i sannolikhetsteori, Bayes sats och hur dessa kan användas i inferens och dataanalys. Kursen tar också upp beräkningsmetoder, som Markovkedja Monte Carlo (MCMC), nödvändigt för att tillämpa bayesiansk inferens på praktiska forskningsproblem. Dessutom behandlas tillämpning av dessa metoder på dataanalys inom astronomi och fysik på ett sådant sätt att det blir möjligt att använda metoderna till faktiska forskningsproblem."
DA3018,Datalogi för matematiker,Matematiska institutionen,Du ska kunna först .,0.2476051151752472,"a. Kursen behandlar arbete med programmerings- och dataprojekt, inkluderande kommandoradsarbete i Linux och liknande OS, och praktiska utvecklingsverktyg. Grundläggande algoritmer och datastrukturer och deras egenskaper, inkluderande sökning och sortering, stackar och köer, hashning. Tids- och minneskomplexitet. Rekursiva algoritmer. Abstraktion som ett verktyg för att förenkla programmering.  b. Kursen består av följande delar: Del 1 Teori (Theory), 3 hp Del 2 Laborationer (Practical Exercises), 3 hp  Del 3 Projektuppgift (Project Assignment), 1,5 hp"
FK8025,Allmän relativitetsteori,Fysikum,Du ska kunna hantera tensoruttryck och utföra beräkningar med tensorer .,0.29330283403396606,"Kursen behandlar: • gravitation som uttryck för rumtidens krökning • tensorbeskrivning av krökta rum och rumtider (metrik, kovariant derivata, Riemanntensorn) • Einsteins fältekvationer • konsekvenser av den allmänna relativitetsteorin: svarta hål, gravitationsvågor, kosmologi • tester av den allmänna relativitetsteorin."
FK7045,Elektrodynamik,Fysikum,Du ska kunna kovariant formulering .,0.24097807705402374,"Kursen behandlar: Gauss lag, Poissons och Laplaces ekvationer, randvärdesproblem, Greensfunktioner, bildladdningsmetoden, ortogonala funktioner och lösning av randvärdesproblem, multipolutveckling, dielektriska media och förskjutningsvektorn, kontinuitetsekvationen, magnetostatik, Faradays induktionslag, Maxwells ekvationer, skalär- och vektorpotential, gaugetransformationer, vågekvationen, elektromagnetiska energitätheter och Poyntings teorem, rotationer och diskreta symmetrier, speciell relativitetsteori och Lorentzgruppen, kovariant formulering av elektrodynamiken. Några tillämpningar av Maxwells ekvationer."
FK7066,Molekylfysik,Fysikum,Du ska kunna ljus .,0.18742063641548157,"Kursen behandlar den grundläggande kvantmekaniken för att beskriva molekylära egenskaper och hur symmetribegreppet kan användas i detta sammanhang. Grunderna för gruppteori introduceras och tillämpas i beskrivning av molekylstruktur, elektronstruktur, vibration och rotation, samt för att härleda urvalsregler för molekylers växelverkan med elektromagnetisk strålning. Vidare behandlas experimentella metoder för undersökning av molekylära egenskaper. För att belysa de teoretiska begreppen används exempel från olika delar av den experimentella molekylfysiken såsom ultrasnabb laserspektrokopi, lagringsringar för joner och röntgen- och synkrotronljusstrålning."
