CourseCode,Department,SBERT_Similarity,ILO_Count
JU122A,Juridiska institutionen,0.784667506814003,2.0
JU369A,Juridiska institutionen,0.7640021698815482,7.0
JU626A,Juridiska institutionen,0.6956521011888981,8.0
JU682A,Juridiska institutionen,0.6545203737914562,8.0
JU379A,Juridiska institutionen,0.5951110944151878,4.0
JU361A,Juridiska institutionen,0.6214383915066719,4.0
JU410A,Juridiska institutionen,0.6420440554618836,5.0
JU398A,Juridiska institutionen,0.5686298757791519,3.0
UB201A,Barn- och ungdomsvetenskapliga institutionen,0.6573920369148254,5.0
FE4221,Företagsekonomiska institutionen,0.7562373578548431,6.0
AT2045,Institutet för social forskning (SOFI),0.5890520562728246,3.0
JU899A,Juridiska institutionen,0.666827853769064,8.0
KV5224,Institutionen för kultur och estetik,0.7692617326974869,4.0
KV5227,Institutionen för kultur och estetik,0.6872488260269165,3.0
JU65AA,Juridiska institutionen,0.6551030457019806,5.0
JU74AA,Juridiska institutionen,0.7367956757545471,5.0
JU375A,Juridiska institutionen,0.6613497994840145,8.0
JU122B,Juridiska institutionen,0.784667506814003,2.0
IH5213,Institutionen för kultur och estetik,0.6091265777746836,3.0
JU1000,Juridiska institutionen,0.6329426616430283,5.0
EC2403,Nationalekonomiska institutionen,0.646067313849926,4.0
EC2404,Nationalekonomiska institutionen,0.5793481096625328,4.0
PEAV29,Institutionen för pedagogik och didaktik,0.738402913014094,3.0
UB207A,Barn- och ungdomsvetenskapliga institutionen,0.734692245721817,5.0
PSSKBT,Psykologiska institutionen,0.606139063835144,5.0
SU8116,Institutionen för socialt arbete,0.5541633427143097,5.0
ST123G,Statistiska institutionen,0.7164229849974314,6.0
JU921A,Juridiska institutionen,0.6588237037261327,6.0
UDA15L,Institutionen för pedagogik och didaktik,0.7053151279687881,4.0
UC430L,Institutionen för pedagogik och didaktik,0.7520263493061066,2.0
PEAV34,Institutionen för pedagogik och didaktik,0.6883088946342468,3.0
JU770A,Juridiska institutionen,0.5025167167186737,4.0
JU74FF,Juridiska institutionen,0.7367956757545471,5.0
JU90AA,Juridiska institutionen,0.5213289807240168,3.0
JU65FF,Juridiska institutionen,0.6991153836250306,5.0
JU770B,Juridiska institutionen,0.5025167167186737,4.0
JU369B,Juridiska institutionen,0.7584058897835868,7.0
JU90BB,Juridiska institutionen,0.5213289807240168,3.0
JU632B,Juridiska institutionen,0.6931366001566251,6.0
JU921B,Juridiska institutionen,0.6588237037261327,6.0
GE3019,Institutionen för naturgeografi,0.7599111676216126,5.0
JU389A,Juridiska institutionen,0.7341914474964142,3.0
DIG01K,Institutionen för pedagogik och didaktik,0.6485627690951029,3.0
UCG01K,Institutionen för pedagogik och didaktik,0.7474660217761994,5.0
JU610L,Juridiska institutionen,0.6703230904208289,9.0
JU215L,Juridiska institutionen,0.6486776885059145,9.0
JU889L,Juridiska institutionen,0.6341162100434303,6.0
ST211G,Statistiska institutionen,0.6276909559965134,5.0
YP11LÄ,Institutionen för pedagogik och didaktik,0.7500598281621933,5.0
ATF012,Institutet för social forskning (SOFI),0.75950987637043,2.0
SAM214,Socialantropologiska institutionen,0.5801333039999008,4.0
JU218L,Juridiska institutionen,0.6417968571186066,5.0
JU219L,Juridiska institutionen,0.6857930898666382,5.0
JU600A,Juridiska institutionen,0.663275596499443,5.0
KB8019,Institutionen för biokemi och biofysik (DBB),0.6394498378038407,5.0
DIG02K,Institutionen för pedagogik och didaktik,0.7648213744163513,5.0
JUL201,Juridiska institutionen,0.7057632803916931,4.0
JUL300,Juridiska institutionen,0.7062844261527061,4.0
UB441F,Barn- och ungdomsvetenskapliga institutionen,0.6975250899791717,5.0
YP18LÄ,Institutionen för pedagogik och didaktik,0.6051222383975983,4.0
YP10LÄ,Institutionen för pedagogik och didaktik,0.7028489336371422,4.0
UCG20K,Institutionen för pedagogik och didaktik,0.8473577499389648,2.0
UM802U,Institutionen för ämnesdidaktik,0.7074660658836365,9.0
JU217L,Juridiska institutionen,0.5761294679509269,9.0
JU230L,Juridiska institutionen,0.6927327327430248,8.0
EC7110,Nationalekonomiska institutionen,0.6467401027679444,5.0
EC7210,Nationalekonomiska institutionen,0.6710267700254917,4.0
EC7412,Nationalekonomiska institutionen,0.6722394898533821,4.0
EC7413,Nationalekonomiska institutionen,0.4882892121871312,9.0
EC7112,Nationalekonomiska institutionen,0.7494687587022781,2.0
EC7415,Nationalekonomiska institutionen,0.7053815186023712,5.0
EC7414,Nationalekonomiska institutionen,0.5375557392835617,4.0
EC7213,Nationalekonomiska institutionen,0.7843818962574005,2.0
