identifier,plan_description,objectives
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
AS1003,"Kursen behandlar: det vetenskapliga arbetssättet inom astronomin, instrument och observationsteknik, solsystemet, stjärnornas struktur och utveckling, Vintergatan och andra galaxer, universums födelse och utveckling, speciella objekt, t.ex. kvasarer och svarta hål.",Efter att ha genomgått kursen skall studenten: • kunna visa orienterande insikter i astronomi och i den astronomiska forskningens  metoder • visa sådana kunskaper som behövs för att kunna följa utvecklingen av den astronomiska forskningen och dess metoder
JKA902,Kursen omfattar ett studium av representativa fiktiva texter från Heian-perioden (794 - 1185) med huvudsaklig inriktning på 900 - 1000-talens hovlitteratur. I denna primärt feminina poetiska och narrativa diskurs tas kärlek och motstånd som figurer upp för tolkning och omtolkning i en diskussion kring centrala teman och begrepp.,För godkänt resultat på kursen ska studenten kunna: - orientera sig i Heian-periodens fiktionslitteratur - identifiera och beskriva ett antal viktiga litterära genrer från Heian-perioden - kommunicera fakta inom området muntligt och skriftligt - tolka och omtolka litterära texter - diskutera för periodens fiktionslitteratur centrala teman och begrepp
JKA902,Kursen omfattar ett studium av representativa fiktiva texter från Heian-perioden (794 - 1185) med huvudsaklig inriktning på 900 - 1000-talens hovlitteratur. I denna primärt feminina poetiska och narrativa diskurs tas kärlek och motstånd som figurer upp för tolkning och omtolkning i en diskussion kring centrala teman och begrepp.,Efter att ha genomgått kursen förväntas studenten kunna: - orientera sig i Heian-periodens fiktionslitteratur - identifiera och beskriva ett antal viktiga litterära genrer från Heian-perioden - kommunicera fakta inom området muntligt och skriftligt - tolka och omtolka litterära texter - diskutera för periodens fiktionslitteratur centrala teman och begrepp
GG1009,"a. Kursen behandlar: •	problematiken om livets ursprung •	de första bakterierna •	uppkomsten av flercelliga organismer •	den kambriska ""explosionen"" •	växtvärldens utveckling •	från fisk till amfibie, ett stort steg •	däggdjurens utveckling  •	evolutionsteori  b. Kursen består av följande moment: 1. Exkursion 1,5 hp (Field Trip) 2. Teori 6 hp (Theory)",Efter att ha genomgått kursen förväntas studenten kunna:   •	redogöra för organismvärldens utveckling  •	redogöra för hur plattektonik och klimatförändringar påverkat utvecklingsmönstret hos Jordens organismer •	redogöra för hur flercelliga organismer uppstått •	redogöra för de olika evertebraternas utveckling •	beskriva utvecklingskedjan fiskar-amfibier-reptiler-däggdjur •	redogöra för paleooceanografins och paleogeografins betydelse för organismvälden
GG1009,"Kursen behandlar: •	problematiken om livets ursprung •	de första bakterierna •	uppkomsten av flercelliga organismer •	den kambriska ""explosionen"" •	växtvärldens utveckling •	från fisk till amfibie, ett stort steg •	däggdjurens utveckling  •	evolutionsteori  Kursen består av två moment: 1 Teori (Theory) 6 hp, provkod T1GG 2 Exkursion (Field Trip), 1,5 hp, provkod F1GG",Efter att ha genomgått kursen förväntas studenten kunna:   •	redogöra för organismvärldens utveckling  •	redogöra för hur plattektonik och klimatförändringar påverkat utvecklingsmönstret hos Jordens organismer •	redogöra för hur flercelliga organismer uppstått •	redogöra för de olika evertebraternas utveckling •	beskriva utvecklingskedjan fiskar-amfibier-reptiler-däggdjur •	redogöra för paleooceanografins och paleogeografins betydelse för organismvälden
AS1010,"Kursen behandlar: Astronomin före grekerna, grekisk astronomi, medeltidens astronomi, astronomins renässans, Kopernikus, Brahe, Kepler, Galilei, Newton m.fl., naturvetenskapen och filosofin, samt människans uppfattning om universum och astronomins inverkan på samhället.",Efter att ha genomgått kursen skall studenten kunna: •	visa orienterande insikter i astronomins historia •	visa förståelse för utvecklingen av den astronomiska världsbildens utveckling
AS1010,"Kursen behandlar: Astronomin före grekerna, grekisk astronomi, medeltidens astronomi, astronomins renässans, Kopernikus, Brahe, Kepler, Galilei, Newton m.fl., naturvetenskapen och filosofin, samt människans uppfattning om universum och astronomins inverkan på samhället.",Efter att ha genomgått kursen skall studenten kunna: •	visa orienterande insikter i astronomins historia •	visa förståelse för utvecklingen av den astronomiska världsbildens utveckling
AS1010,"Kursen behandlar: Astronomin före grekerna, grekisk astronomi, medeltidens astronomi, astronomins renässans, Kopernikus, Brahe, Kepler, Galilei, Newton m.fl., naturvetenskapen och filosofin, samt människans uppfattning om universum och astronomins inverkan på samhället.",Efter att ha genomgått kursen skall studenten kunna: •	visa orienterande insikter i astronomins historia •	visa förståelse för utvecklingen av den astronomiska världsbildens utveckling
AS1011,"Kursen behandlar observationella och teoretiska aspekter av exotiska kompakta objekt, såsom vita dvärgar, neutronstjärnor och svarta hål.  Speciellt behandlas: upptäcktshistorien av de exotiska objekten, en översikt av slutstadierna av stjärnutveckling, supernovaexplosioner, pulsarer, struktur hos neutronstjärnorna, fysiken hos svarta hål, grundtankarna i allmän relativitetsteori, händelsehorisonter, singulariteter, maskhål, observationella aspekter av kompakta objekt, röntgenkällor, gammastrålningsutbrott, kolliderande neutronstjärnor, supermassiva svarta hål i aktiva galaxkärnor, det svarta hålet i Vintergatans centrum, Hawkingstrålning, gravitationsstrålning, olika typer av teleskop och satelliter för röntgen och gammastrålning. ","Efter att ha genomgått kursen skall studenten kunna visa orienterande insikter i: • de olika slutstadier som stjärnor av olika massor slutar i, liksom uppkomsten av supermassiva svarta hål i galaxkärnor • de viktigaste egenskaperna hos vita dvärgar, neutronstjärnor och svarta hål • olika observationella egenskaper hos kompakta objekt av olika slag"
